unemployment_rate,Government Response Index,Containment Health Index,Economic Support Index,Stringency Index
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,61.98,56.55,100,50.93
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.5,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.4,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,58.85,52.98,100,45.37
3.3,61.98,56.55,100,50.93
3.3,61.98,56.55,100,50.93
3.3,61.98,56.55,100,50.93
3.3,61.98,56.55,100,50.93
3.3,61.98,56.55,100,50.93
3.3,61.98,56.55,100,50.93
3.3,61.98,56.55,100,50.93
3.3,61.98,56.55,100,50.93
3.3,64.06,58.93,100,50.93
3.3,64.06,58.93,100,50.93
3.3,64.06,58.93,100,50.93
3.3,64.06,58.93,100,50.93
3.3,64.06,58.93,100,50.93
3.3,64.06,58.93,100,50.93
3.3,60.94,55.36,100,45.37
3.3,60.94,55.36,100,45.37
3.3,62.19,56.79,100,45.37
3.3,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,62.19,56.79,100,45.37
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,65.31,60.36,100,50.93
3.2,66.56,61.79,100,50.93
3.2,66.56,61.79,100,50.93
3.2,66.56,61.79,100,50.93
3.2,66.56,61.79,100,50.93
3.2,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
3,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,66.56,61.79,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
2.9,69.06,64.64,100,50.93
