unemployment_rate,Government Response Index,Containment Health Index,Economic Support Index,Stringency Index
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
13.3,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,66.15,66.67,62.5,72.69
11.1,64.06,64.29,62.5,68.98
11.1,64.06,64.29,62.5,68.98
11.1,64.06,64.29,62.5,68.98
11.1,64.06,64.29,62.5,68.98
11.1,64.06,64.29,62.5,68.98
11.1,64.06,64.29,62.5,68.98
