unemployment_rate,Government Response Index,Containment Health Index,Economic Support Index,Stringency Index
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.1,60.12,100,64.35
4.9,65.89,61.01,100,65.74
4.9,65.89,61.01,100,65.74
4.9,65.89,61.01,100,65.74
4.9,65.89,61.01,100,65.74
4.9,65.89,61.01,100,65.74
4.9,65.89,61.01,100,65.74
4.9,65.89,61.01,100,65.74
4.9,65.89,61.01,100,65.74
4.9,65.89,61.01,100,65.74
4.9,65.89,61.01,100,65.74
4.9,66.93,62.2,100,67.59
4.9,66.93,62.2,100,67.59
4.9,66.93,62.2,100,67.59
4.9,66.93,62.2,100,67.59
4.9,66.93,62.2,100,67.59
4.9,66.93,62.2,100,67.59
4.9,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,66.93,62.2,100,67.59
5.1,62.76,57.44,100,60.19
5.1,62.76,57.44,100,60.19
5.1,63.54,58.33,100,60.19
5.1,63.54,58.33,100,60.19
5.1,63.54,58.33,100,60.19
5.1,63.54,58.33,100,60.19
5.1,63.54,58.33,100,60.19
5.1,66.67,61.9,100,65.74
5.1,66.67,61.9,100,65.74
5.1,66.67,61.9,100,65.74
5.1,67.71,63.1,100,67.59
5.1,71.88,67.86,100,75
5.1,71.88,67.86,100,75
5.1,71.88,67.86,100,75
5.1,71.88,67.86,100,75
5.1,71.88,67.86,100,75
5.1,71.88,67.86,100,75
5.1,71.88,67.86,100,75
5.1,71.88,67.86,100,75
5.1,71.88,67.86,100,75
5.3,71.88,67.86,100,75
5.3,71.88,67.86,100,75
5.3,71.88,67.86,100,75
5.3,71.88,67.86,100,75
5.3,71.88,67.86,100,75
5.3,70.31,66.07,100,72.22
5.3,70.31,66.07,100,72.22
5.3,70.31,66.07,100,72.22
5.3,67.19,62.5,100,66.67
5.3,66.15,61.31,100,64.81
5.3,66.15,61.31,100,64.81
5.3,66.15,61.31,100,64.81
5.3,66.15,61.31,100,64.81
5.3,66.15,61.31,100,64.81
5.3,66.15,61.31,100,64.81
5.3,66.15,61.31,100,64.81
5.3,66.15,61.31,100,64.81
5.3,66.15,61.31,100,64.81
5.3,66.15,61.31,100,64.81
5.3,67.71,63.1,100,67.59
5.3,67.71,63.1,100,67.59
5.3,67.71,63.1,100,67.59
5.3,67.71,63.1,100,67.59
5.3,67.71,63.1,100,67.59
5.3,67.71,63.1,100,67.59
5.3,67.71,63.1,100,67.59
5.3,67.71,63.1,100,67.59
5.3,67.71,63.1,100,67.59
5.3,67.71,63.1,100,67.59
5.3,67.71,63.1,100,67.59
5.5,67.71,63.1,100,67.59
5.5,67.71,63.1,100,67.59
5.5,65.62,60.71,100,63.89
5.5,65.62,60.71,100,63.89
5.5,65.62,60.71,100,63.89
5.5,65.62,60.71,100,63.89
5.5,65.62,60.71,100,63.89
5.5,71.46,67.38,100,67.59
5.5,71.46,67.38,100,67.59
5.5,71.46,67.38,100,67.59
5.5,71.46,67.38,100,67.59
5.5,71.46,67.38,100,67.59
5.5,71.46,67.38,100,67.59
5.5,74.58,70.95,100,73.15
5.5,74.58,70.95,100,73.15
5.5,74.58,70.95,100,73.15
5.5,74.58,70.95,100,73.15
5.5,74.58,70.95,100,73.15
5.5,76.67,73.33,100,76.85
5.5,76.67,73.33,100,76.85
5.5,76.67,73.33,100,76.85
5.5,76.67,73.33,100,76.85
5.5,76.67,73.33,100,76.85
5.5,78.23,75.12,100,79.63
5.5,75.89,72.44,100,75.46
5.5,79.27,76.31,100,79.63
5.5,79.27,76.31,100,79.63
5.5,79.27,76.31,100,79.63
5.5,79.27,76.31,100,79.63
5.5,79.27,76.31,100,79.63
5.5,79.27,76.31,100,79.63
5.7,79.27,76.31,100,79.63
5.7,79.27,76.31,100,79.63
5.7,79.27,76.31,100,79.63
5.7,79.27,76.31,100,79.63
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
5.7,83.96,81.67,100,87.96
